Time,Sample number,Temperature,Humidity,Sensor response,PM response,Temperature MFC,Current (nanofiber),Voltage (nanofiber)
2020-06-04 10:54:18.964535,60,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:20.214781,61,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:21.493509,62,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:22.760186,63,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:24.013299,64,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:25.279503,65,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:26.568140,66,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:27.811159,67,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:29.086118,68,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:30.363771,69,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:31.665073,70,20.2,52.0,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:32.934124,71,20.2,52.0,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:34.127717,72,20.2,52.0,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:35.386378,73,20.2,52.0,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:36.661372,74,20.1,52.0,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:37.920824,75,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:39.194397,76,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:40.451728,77,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:41.716762,78,20.2,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:42.977891,79,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:44.244288,80,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:45.506675,81,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:46.771166,82,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:48.040146,83,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:49.327685,84,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:50.589140,85,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:51.837598,86,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:53.124035,87,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:54.396002,88,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:55.639664,89,20.1,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:56.892781,90,20.2,51.9,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:58.176410,91,20.2,52.0,,,,00.0001E-03,+05.000E+00
2020-06-04 10:54:59.436964,92,20.2,52.0,,,,00.0001E-03,+05.000E+00
2020-06-04 10:55:00.702581,93,20.2,52.0,,,,00.0001E-03,+05.000E+00
2020-06-04 10:55:01.970510,94,20.2,52.0,,,,00.0001E-03,+05.000E+00
2020-06-04 10:55:03.201389,95,20.2,52.0,,,,00.0008E-03,+05.000E+00
2020-06-04 10:55:04.492864,96,20.2,52.0,,,,00.0001E-03,+05.000E+00
2020-06-04 10:55:05.749749,97,20.2,52.0,,,,00.0006E-03,+05.000E+00
2020-06-04 10:55:07.018805,98,20.2,52.0,,,,00.0001E-03,+05.000E+00
2020-06-04 10:55:08.280816,99,20.2,52.0,,,,00.0001E-03,+05.000E+00
