Time,Sample number,Temperature (°C),Humidity (%RH),Sensor response (Ohm),PM response,Temperature MFC (°C),Nanofiber current (mA),Nanofiber voltage (V)
2020-07-10 17:38:11.992747,56,20.9,25.5,,,22.37,00.0001E-03,-04.096E+00
2020-07-10 17:38:12.238981,57,20.9,25.5,,,22.37,00.0001E-03,-04.096E+00
2020-07-10 17:38:12.472939,58,20.9,25.5,,,22.37,00.0001E-03,-04.096E+00
2020-07-10 17:38:12.717008,59,20.9,25.5,,,22.37,00.0001E-03,-04.096E+00
2020-07-10 17:38:12.968374,60,20.9,25.5,,,22.37,00.0006E-03,-04.096E+00
2020-07-10 17:38:13.248431,61,20.9,25.5,,,22.37,00.0006E-03,-04.096E+00
2020-07-10 17:38:13.498362,62,20.9,25.5,,,22.37,00.0006E-03,-04.096E+00
2020-07-10 17:38:13.766372,63,20.9,25.5,,,22.37,00.0001E-03,-04.096E+00
2020-07-10 17:38:13.977042,64,20.9,25.5,,,22.37,00.0006E-03,-04.096E+00
2020-07-10 17:38:14.232107,65,20.9,25.5,,,22.37,00.0001E-03,-04.096E+00
2020-07-10 17:38:14.464924,66,20.9,25.5,,,22.37,00.0001E-03,-04.096E+00
2020-07-10 17:38:14.712633,67,20.9,25.5,,,22.37,00.0006E-03,-04.096E+00
2020-07-10 17:38:15.016949,68,20.9,25.5,,,22.37,00.0006E-03,-04.096E+00
2020-07-10 17:38:15.226526,69,20.9,25.5,,,22.37,00.0001E-03,-04.096E+00
2020-07-10 17:38:15.489478,70,20.9,25.5,,,22.37,00.0006E-03,-04.096E+00
2020-07-10 17:38:15.744616,71,20.9,25.5,,,22.37,00.0008E-03,-04.096E+00
2020-07-10 17:38:16.004553,72,20.9,25.5,,,22.37,00.0001E-03,-04.096E+00
2020-07-10 17:38:16.220058,73,20.9,25.5,,,22.37,00.0001E-03,-04.096E+00
2020-07-10 17:38:16.542370,74,20.9,25.4,,,22.37,00.0001E-03,-04.096E+00
2020-07-10 17:38:16.746463,75,20.9,25.4,,,22.37,00.0001E-03,-04.096E+00
2020-07-10 17:38:16.999894,76,20.9,25.4,,,22.38,00.0001E-03,-04.096E+00
2020-07-10 17:38:17.256793,77,20.9,25.4,,,22.38,00.0008E-03,-04.096E+00
2020-07-10 17:38:17.465291,78,20.9,25.4,,,22.38,00.0001E-03,-04.096E+00
2020-07-10 17:38:17.773642,79,20.9,25.4,,,22.38,00.0001E-03,-04.096E+00
2020-07-10 17:38:17.982762,80,20.9,25.4,,,22.38,00.0001E-03,-04.096E+00
2020-07-10 17:38:18.278880,81,20.9,25.4,,,22.38,00.0006E-03,-04.096E+00
2020-07-10 17:38:18.484435,82,20.9,25.4,,,22.38,00.0001E-03,-04.096E+00
2020-07-10 17:38:18.788699,83,20.9,25.4,,,22.38,00.0001E-03,-04.096E+00
2020-07-10 17:38:18.975472,84,20.9,25.4,,,22.38,00.0001E-03,-04.096E+00
2020-07-10 17:38:19.262483,85,20.9,25.4,,,22.38,00.0006E-03,-04.096E+00
2020-07-10 17:38:19.475561,86,20.9,25.4,,,22.38,00.0008E-03,-04.096E+00
2020-07-10 17:38:19.732649,87,20.9,25.4,,,22.38,00.0001E-03,-04.096E+00
2020-07-10 17:38:20.013839,88,20.9,25.4,,,22.38,00.0008E-03,-04.096E+00
2020-07-10 17:38:20.251112,89,20.9,25.4,,,22.38,00.0001E-03,-04.096E+00
2020-07-10 17:38:20.532447,90,20.9,25.4,,,22.38,00.0001E-03,-04.096E+00
2020-07-10 17:38:20.756007,91,20.9,25.4,,,22.38,00.0001E-03,-04.096E+00
2020-07-10 17:38:21.095248,92,20.9,25.4,,,22.38,00.0006E-03,-04.096E+00
2020-07-10 17:38:21.267277,93,20.9,25.4,,,22.38,00.0006E-03,-04.096E+00
2020-07-10 17:38:21.526592,94,20.9,25.4,,,22.38,00.0006E-03,-04.096E+00
2020-07-10 17:38:21.762570,95,20.9,25.4,,,22.38,00.0001E-03,-04.096E+00
2020-07-10 17:38:22.039957,96,20.9,25.4,,,22.38,00.0006E-03,-04.096E+00
2020-07-10 17:38:22.271538,97,20.9,25.4,,,22.38,00.0008E-03,-04.096E+00
2020-07-10 17:38:22.486552,98,20.9,25.4,,,22.38,00.0001E-03,-04.096E+00
2020-07-10 17:38:22.791413,99,20.9,25.4,,,22.38,00.0006E-03,-04.096E+00
2020-07-10 17:38:23.008945,100,20.9,25.4,,,22.39,00.0006E-03,-04.096E+00
2020-07-10 17:38:23.266167,101,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:23.530631,102,20.9,25.4,,,22.39,00.0008E-03,-04.096E+00
2020-07-10 17:38:23.766859,103,20.9,25.4,,,22.39,00.0008E-03,-04.096E+00
2020-07-10 17:38:23.994827,104,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:24.314758,105,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:24.513207,106,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:24.774451,107,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:25.046559,108,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:25.295066,109,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:25.526797,110,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:25.825514,111,20.9,25.4,,,22.39,00.0006E-03,-04.096E+00
2020-07-10 17:38:25.998137,112,20.9,25.4,,,22.39,00.0006E-03,-04.096E+00
2020-07-10 17:38:26.253192,113,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:26.542143,114,20.9,25.4,,,22.39,00.0006E-03,-04.096E+00
2020-07-10 17:38:26.777976,115,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:27.020491,116,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:27.304389,117,20.9,25.4,,,22.39,00.0008E-03,-04.096E+00
2020-07-10 17:38:27.543095,118,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:27.782357,119,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:28.037356,120,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:28.246963,121,20.9,25.4,,,22.39,00.0008E-03,-04.096E+00
2020-07-10 17:38:28.509494,122,20.9,25.4,,,22.39,00.0001E-03,-04.096E+00
2020-07-10 17:38:28.811908,123,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:29.007867,124,20.9,25.4,,,22.4,00.0006E-03,-04.096E+00
2020-07-10 17:38:29.270932,125,20.9,25.4,,,22.4,00.0006E-03,-04.096E+00
2020-07-10 17:38:29.516596,126,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:29.787690,127,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:30.022956,128,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:30.283832,129,20.9,25.4,,,22.4,00.0006E-03,-04.096E+00
2020-07-10 17:38:30.540599,130,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:30.825347,131,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:31.052019,132,20.9,25.4,,,22.4,00.0006E-03,-04.096E+00
2020-07-10 17:38:31.287503,133,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:31.551120,134,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:31.789593,135,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:32.048629,136,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:32.272491,137,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:32.569631,138,20.9,25.4,,,22.4,00.0006E-03,-04.096E+00
2020-07-10 17:38:32.827187,139,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
